# timeInterval, linkID, cellName, groupID, groupSizeOnLink 
0, 0, C29266038287828233, 0, 100.0
1, 0, C29266038287828233, 0, 100.0
2, 0, C29266038287828233, 0, 100.0
3, 0, C29266038287828233, 0, 100.0
4, 0, C29266038287828233, 0, 100.0
5, 0, C29266038287828233, 0, 100.0
6, 0, C29266038287828233, 0, 100.0
7, 0, C29266038287828233, 0, 100.0
8, 0, C29266038287828233, 0, 100.0
9, 0, C29266038287828233, 0, 100.0
10, 0, C29266038287828233, 0, 100.0
11, 0, C29266038287828233, 0, 100.0
12, 0, C29266038287828233, 0, 100.0
13, 0, C29266038287828233, 0, 100.0
14, 0, C29266038287828233, 0, 100.0
15, 0, C29266038287828233, 0, 100.0
16, 0, C29266038287828233, 0, 100.0
17, 0, C29266038287828233, 0, 100.0
18, 0, C29266038287828233, 0, 100.0
19, 0, C29266038287828233, 0, 100.0
20, 0, C29266038287828233, 0, 100.0
