# timeInterval, linkID, cellName, groupID, groupSizeOnLink 
1, 10, C2, 1, 1.2405015364952678
1, 10, C2, 0, 1.0398401372398052
1, 4, C1, 1, 3.32434703957823E-8
1, 4, C1, 0, 2.2842066076865364E-7
1, 0, C1, 1, 8.759498430261262
1, 0, C1, 0, 8.960159634339535
2, 28, C4, 1, 1.0394813893988968
2, 28, C4, 0, 0.0018041552731776179
2, 22, C4, 1, 0.02863917749440098
2, 22, C4, 0, 0.06548322941259928
2, 20, C4, 1, 0.002259093692261737
2, 20, C4, 0, 0.830149646505558
2, 11, C2, 1, 3.578515611922194E-4
2, 11, C2, 0, 9.981888312145135E-5
2, 10, C2, 1, 1.3962177361674506
2, 10, C2, 0, 1.193918694407306
2, 5, C1, 1, 4.8530784454334316E-15
2, 5, C1, 0, 1.1488379596513926E-15
2, 4, C1, 1, 5.671845881462205E-7
2, 4, C1, 0, 3.986483381976921E-6
2, 0, C1, 1, 7.533044151257739
2, 0, C1, 0, 7.908540240614196
3, 207, C14, 1, 0.06506262280771723
3, 203, C14, 1, 0.8248174961596902
3, 38, C6, 0, 0.036763832236762876
3, 36, C6, 0, 0.46606562641008253
3, 29, C4, 1, 2.2888298124320748E-4
3, 29, C4, 0, 1.1946650716289877E-4
3, 28, C4, 1, 1.2998274731631456
3, 28, C4, 0, 4.0530722581437484E-4
3, 27, C4, 1, 7.494219329930827E-5
3, 27, C4, 0, 0.001425563613915528
3, 26, C4, 1, 0.02136204652640612
3, 26, C4, 0, 6.031780772213861E-6
3, 25, C4, 1, 3.3768773845339737E-4
3, 25, C4, 0, 2.2875372744464182E-4
3, 24, C4, 1, 3.62950092161681E-6
3, 24, C4, 0, 0.04001743130290086
3, 23, C4, 1, 2.1515659899200908E-4
3, 23, C4, 0, 5.974286636340628E-5
3, 22, C4, 1, 0.01084145224947526
3, 22, C4, 0, 0.03339069946767835
3, 21, C4, 1, 0.0010313412632293952
3, 21, C4, 0, 1.917024856101893E-5
3, 20, C4, 1, 0.0010855445474115516
3, 20, C4, 0, 1.2969070960040796
3, 18, C3, 1, 5.557011176557251E-6
3, 18, C3, 0, 0.009037593201789988
3, 16, C3, 0, 5.429568239022075E-10
3, 15, C3, 1, 5.557011176557251E-6
3, 15, C3, 0, 2.489984317833047E-4
3, 14, C3, 0, 4.282910486126023E-11
3, 11, C2, 1, 2.3849312777967106E-4
3, 11, C2, 0, 9.490315403014612E-5
3, 10, C2, 1, 1.4541850022422114
3, 10, C2, 0, 0.4593191785559846
3, 5, C1, 1, 4.930682504011517E-13
3, 5, C1, 0, 7.545535390868475E-15
3, 4, C1, 1, 1.7252233424148206E-6
3, 4, C1, 0, 6.200547353919507E-5
3, 0, C1, 1, 6.320674789021753
3, 0, C1, 0, 7.6558283707848815
4, 207, C14, 1, 0.04414534525850314
4, 206, C14, 1, 4.7206587018058007E-4
4, 205, C14, 1, 0.04960328510091683
4, 204, C14, 1, 6.114732265507225E-4
